"species","feature","total_amount","absolute_held","relative_held"
"Perch","Source connectivity",2204.87257153706,2204.76363551961,0.999950593055191
"Common bream","Source connectivity",1441.06347801545,1441.06347801545,1
"Common minnow","Source connectivity",917.199482839671,917.199482839671,1
"Pike","Source connectivity",2792.71381678949,2792.6638339377,0.999982102408242
"Ruffe","Source connectivity",5149.20849979776,5124.87170841888,0.99527368305637
"Zander","Source connectivity",925.743800745687,925.743800745687,1
"Ide","Source connectivity",1289.27789770602,1289.27789770602,1
"Common bleak","Source connectivity",1010.50981103486,1010.50981103486,1
"Roach","Source connectivity",1114.02473818661,1114.00825169758,0.999985200966847
"Crucian carp","Source connectivity",392.156303090255,392.156303090255,1
"Common rudd","Source connectivity",339.131714074976,339.131714074976,1
"Two-spotted goby","Source connectivity",3758.15989794148,3757.27660493248,0.999764966623831
"Nine-spined stickleback","Source connectivity",1971.11852387583,1971.11852387583,1
"Sand goby","Source connectivity",8638.78439453527,8593.94277258192,0.994809267148545
"Tench","Source connectivity",1255.31955716842,1255.31955716842,1
"Black goby","Source connectivity",4853.9902124624,4853.94620282597,0.999990933307546
"Perch","Vulnerability",2947.9415795834,2947.63800684381,0.999897022131749
"Common bream","Vulnerability",1384.54039145977,1384.54039145977,1
"Common minnow","Vulnerability",510.504771250904,510.504771250904,1
"Pike","Vulnerability",1789.5106467275,1789.47029042132,0.99997744841236
"Ruffe","Vulnerability",4176.1281691249,4159.22618827786,0.99595271501196
"Zander","Vulnerability",781.802017639107,781.802017639106,1
"Ide","Vulnerability",1433.63958334648,1433.63958334648,1
"Common bleak","Vulnerability",1037.60331632397,1037.60331632397,1
"Roach","Vulnerability",1252.52619074373,1252.51010491408,0.999987157290787
"Crucian carp","Vulnerability",566.616271507114,566.616271507113,1
"Common rudd","Vulnerability",283.432119201594,283.432119201594,1
"Two-spotted goby","Vulnerability",3603.19939008098,3602.38966149681,0.999775275110669
"Nine-spined stickleback","Vulnerability",1225.03227597024,1225.03227597024,1
"Sand goby","Vulnerability",8242.2502849211,8192.57198437875,0.993972726036573
"Tench","Vulnerability",2282.71963187131,2282.71963187131,1
"Black goby","Vulnerability",5645.60412962943,5645.48238771499,0.999978435981049
"Perch","Habitat",248420,248275,0.999416311086064
"Common bream","Habitat",104980,104980,1
"Common minnow","Habitat",48035,48035,1
"Pike","Habitat",211845,211660,0.999126720007553
"Ruffe","Habitat",362055,353245,0.975666680476723
"Zander","Habitat",69530,69530,1
"Ide","Habitat",83005,83005,1
"Common bleak","Habitat",118990,118990,1
"Roach","Habitat",161430,161215,0.998668153379174
"Crucian carp","Habitat",40675,40675,1
"Common rudd","Habitat",19740,19740,1
"Two-spotted goby","Habitat",298400,294345,0.986410857908847
"Nine-spined stickleback","Habitat",145935,145935,1
"Sand goby","Habitat",468085,463065,0.989275452108057
"Tench","Habitat",91485,91485,1
"Black goby","Habitat",280450,280095,0.99873417721519
