"species","feature","total_amount","absolute_held","relative_held"
"Perch","Source connectivity",2204.87257153706,2192.21737981116,0.994260352326358
"Common bream","Source connectivity",1441.06347801545,1441.06265526642,0.999999429068159
"Common minnow","Source connectivity",917.199482839671,916.763383214623,0.999524531322567
"Pike","Source connectivity",2792.71381678949,2764.3522811899,0.989844453295185
"Ruffe","Source connectivity",5149.20849979776,4327.03718303362,0.840330544627115
"Zander","Source connectivity",925.743800745687,925.743748241263,0.999999943284067
"Ide","Source connectivity",1289.27789770602,1283.1858314224,0.995274822988543
"Common bleak","Source connectivity",1010.50981103486,1010.45689049333,0.999947629858759
"Roach","Source connectivity",1114.02473818661,1107.18302759037,0.993858564929732
"Crucian carp","Source connectivity",392.156303090255,392.156303090255,1
"Common rudd","Source connectivity",339.131714074976,339.131714074976,1
"Two-spotted goby","Source connectivity",3758.15989794148,3616.39574416098,0.962278307035805
"Nine-spined stickleback","Source connectivity",1971.11852387583,1966.12939132262,0.997468882518842
"Sand goby","Source connectivity",8638.78439453527,7352.93035943178,0.851153359503115
"Tench","Source connectivity",1255.31955716842,1255.31667119062,0.999997701001489
"Black goby","Source connectivity",4853.9902124624,4770.58782426064,0.982817767537391
"Perch","Vulnerability",2947.9415795834,2922.12336533298,0.99124195186593
"Common bream","Vulnerability",1384.54039145977,1384.53886339904,0.999998896340814
"Common minnow","Vulnerability",510.504771250904,510.231139901433,0.999463998448436
"Pike","Vulnerability",1789.5106467275,1775.53093948952,0.992187972022663
"Ruffe","Vulnerability",4176.1281691249,3525.8434900443,0.844285267897594
"Zander","Vulnerability",781.802017639107,781.801967322399,0.99999993564009
"Ide","Vulnerability",1433.63958334648,1423.5024033001,0.992929059601773
"Common bleak","Vulnerability",1037.60331632397,1037.49097272536,0.999891727795354
"Roach","Vulnerability",1252.52619074373,1241.21801113706,0.990971702076777
"Crucian carp","Vulnerability",566.616271507114,566.616271507113,1
"Common rudd","Vulnerability",283.432119201594,283.432119201594,1
"Two-spotted goby","Vulnerability",3603.19939008098,3501.46001468506,0.971764156134132
"Nine-spined stickleback","Vulnerability",1225.03227597024,1219.65469076183,0.9956102501837
"Sand goby","Vulnerability",8242.2502849211,7511.83431319556,0.911381486065547
"Tench","Vulnerability",2282.71963187131,2282.71420564139,0.999997622910039
"Black goby","Vulnerability",5645.60412962943,5559.7430331306,0.984791513091005
"Perch","Habitat",248420,237455,0.955861041784075
"Common bream","Habitat",104980,104940,0.999618975042865
"Common minnow","Habitat",48035,47025,0.978973665035911
"Pike","Habitat",211845,200840,0.948051641530364
"Ruffe","Habitat",362055,292500,0.807888304263164
"Zander","Habitat",69530,69460,0.998993240327916
"Ide","Habitat",83005,77865,0.938076019516897
"Common bleak","Habitat",118990,118340,0.994537356080343
"Roach","Habitat",161430,155760,0.964876417022858
"Crucian carp","Habitat",40675,40675,1
"Common rudd","Habitat",19740,19740,1
"Two-spotted goby","Habitat",298400,262530,0.879792225201072
"Nine-spined stickleback","Habitat",145935,140640,0.963716723198684
"Sand goby","Habitat",468085,399865,0.854257239603918
"Tench","Habitat",91485,91395,0.999016232169208
"Black goby","Habitat",280450,266260,0.949402745587449
