OBJECTID_1,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND,Shape_Leng,Shape_Le_1,OBJECTID,Shape_Le_2,MERGE_SRC,Shape_Length,Shape_Area
412, ,Ystads sandskog,SCI, ,,,,2004-12-01 0:00:00, , , ,Skåne län,Ystad, , ,142.8,0,0,0, , , , ,8331.690382,0, ,8331.690382,MPAs_Sverige_Okt_2023,8331.690382,1427839.826
413, ,Ytteräng,SCI, ,,,,2005-01-01 0:00:00, , , ,Stockholms län,Haninge, , ,69.3,0,0,0, , , , ,3766.480096,0, ,3766.480096,MPAs_Sverige_Okt_2023,3766.480096,692766.2723
414, ,Yxnevik,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Västervik, , ,40.9,0,0,0, , , , ,3121.186935,0, ,3121.186935,MPAs_Sverige_Okt_2023,3121.186935,408987.8689
415, ,Älgön-Brattön,SCI, ,,,,2004-12-01 0:00:00, , , ,Västra Götalands län,Kungälv, , ,1187,0,0,0, , , , ,18825.40089,0, ,18825.40089,MPAs_Sverige_Okt_2023,18825.40089,11870460.98
416, ,Ängelholms kronopark,SCI, ,,,,2004-12-01 0:00:00, , , ,Skåne län,Ängelholm, , ,205.7,0,0,0, , , , ,5984.631835,0, ,5984.631835,MPAs_Sverige_Okt_2023,5984.631835,2056728.919
417, ,"Ängskär, Bondskäret",SCI, ,,,,2005-01-01 0:00:00, , , ,Uppsala län,Tierp, , ,387.7,0,0,0, , , , ,15774.05424,0, ,15774.05424,MPAs_Sverige_Okt_2023,15774.05424,3877352.147
418, ,Ängsö,SCI, ,,,,2005-01-01 0:00:00, , , ,Stockholms län,Norrtälje, , ,194.9,0,0,0, , , , ,6010.443924,0, ,6010.443924,MPAs_Sverige_Okt_2023,6010.443924,1948965.854
419, ,Äspet,SCI, ,,,,2004-12-01 0:00:00, , , ,Skåne län,Kristianstad, , ,216.4,0,0,0, , , , ,6729.83259,0, ,6729.83259,MPAs_Sverige_Okt_2023,6729.83259,2163916.909
420, ,Åbyfjorden,SCI, ,,,,2005-01-01 0:00:00, , , ,Västra Götalands län,"Lysekil, Sotenäs", , ,1061,0,0,0, , , , ,41254.57093,0, ,41254.57093,MPAs_Sverige_Okt_2023,41254.57093,10610120.69
421, ,Åkerby-Runstens sjömarker,SCI, ,,,,2005-01-01 0:00:00, , , ,Kalmar län,Borgholm, , ,1118.9,0,0,0, , , , ,15941.61373,0, ,15941.61373,MPAs_Sverige_Okt_2023,15941.61373,11188566.84
