OBJECTID_1,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND,Shape_Leng,Shape_Le_1,OBJECTID,Shape_Le_2,MERGE_SRC,Shape_Length,Shape_Area
11,2000972,Västra Kullaberg,Naturreservat,Gällande,1971-06-30 0:00:00,,1971-06-30 0:00:00,2017-03-18 0:00:00, , , ,Skåne Län,Höganäs,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Skåne län,487.54,285.21,202.315,157.127,Slutligt inmätt,511-34318-2016,Miljöbalken,Länsstyrelse,9904.450183,0, ,9904.450183,MPAs_Sverige_Okt_2023,9904.450183,4875347.341
12,2002259,Misterhults skärgård,Naturreservat,Gällande,1967-12-05 0:00:00,,1967-12-05 0:00:00,2018-05-03 0:00:00, , , ,Kalmar Län,Oskarshamn,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Kalmar län,8450.51,1547.1,6903.345,575.841,Slutligt inmätt,511-7301-16,Miljöbalken,Länsstyrelse,69419.80172,0, ,69419.80172,MPAs_Sverige_Okt_2023,69419.80172,84505103.48
13,2001738,Ängelholm,Naturreservat,Gällande,1969-01-07 0:00:00,,1969-01-07 0:00:00,2016-07-02 0:00:00, , , ,Östergötlands Län,Valdemarsvik,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Östergötlands län,907.7,95.8,811.88,64.212,Ospecificerad,2516-2016,Miljöbalken,Länsstyrelse,25457.37078,0, ,25457.37078,MPAs_Sverige_Okt_2023,25457.37078,9077016.961
14,2042809,Stärnö-Boön,Naturreservat,Gällande,2014-09-24 0:00:00,,2014-10-17 0:00:00,2014-10-17 0:00:00, , , ,Blekinge Län,Karlshamn,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Karlshamns kommun,900.42,194.69,705.709,130.032,Ospecificerad,511-0305-09,Miljöbalken,Länsstyrelse,17966.53481,0, ,17966.53481,MPAs_Sverige_Okt_2023,17966.53481,9004206.006
16,2046188,Biskopsmåla,Naturreservat,Gällande,2016-12-01 0:00:00,,2016-12-30 0:00:00,2016-12-30 0:00:00, , , ,Blekinge Län,Ronneby,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Blekinge län,230.3,60.33,170.052,47.979,Ospecificerad,511-3440-12,Miljöbalken,Länsstyrelse,14004.99045,0, ,14004.99045,MPAs_Sverige_Okt_2023,14004.99045,2302995.94
17,2002702,Örarevet,Naturreservat,Gällande,1973-02-01 0:00:00,,1973-02-01 0:00:00,2010-02-20 0:00:00, , , ,Kalmar Län,Torsås,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Kalmar län,238.71,53.63,185.074,8.116,Slutligt inmätt,511-13445-06,Miljöbalken,Länsstyrelse,8448.852987,0, ,8448.852987,MPAs_Sverige_Okt_2023,8448.852987,2387068.517
18,2001670,Holmöarna,Naturreservat,Gällande,1980-12-15 0:00:00,,1983-09-15 0:00:00,1983-09-15 0:00:00, , , ,Västerbottens Län,Umeå,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Västerbottens län,24209.6,3285.11,20924.394,1968.997,Ospecificerad,11.1211-1699-78     RrAC63,Naturvårdslagen,Länsstyrelse,91716.21609,0, ,91716.21609,MPAs_Sverige_Okt_2023,91716.21609,242095977.4
19,2000058,Tromtö,Naturreservat,Gällande,1982-06-10 0:00:00,,1982-08-28 0:00:00,2018-09-22 0:00:00, , , ,Blekinge Län,Ronneby,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Blekinge län,1293.71,373.58,920.11,280.29,Slutligt inmätt,511-1637-2018,Miljöbalken,Länsstyrelse,18440.51078,0, ,18440.51078,MPAs_Sverige_Okt_2023,18440.51078,12937054.33
20,2000370,Kragenäs,Naturreservat,Gällande,1999-06-22 0:00:00,,1999-08-16 0:00:00,1999-08-16 0:00:00, , , ,Västra Götalands Län,Tanum,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Västkuststiftelsen,343.53,124.95,218.565,68.424,Slutligt inmätt,"231-35709-98, Doss nr 1435-216",Miljöbalken,Länsstyrelse,13584.06481,0, ,13584.06481,MPAs_Sverige_Okt_2023,13584.06481,3435313.332
21,2000743,Bua Hed,Naturreservat,Gällande,1977-04-27 0:00:00,,1977-05-18 0:00:00,2015-06-19 0:00:00, , , ,Västra Götalands Län,"Lysekil, Sotenäs","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Västkuststiftelsen,79.93,32.81,47.117,4.692,Ospecificerad,511-38093-2014,Miljöbalken,Länsstyrelse,3830.866577,0, ,3830.866577,MPAs_Sverige_Okt_2023,3830.866577,799281.3511
22,2024570,Utteros,Naturreservat,Gällande,2010-12-03 0:00:00,,2012-03-08 0:00:00,2012-03-08 0:00:00, , , ,Hallands Län,Varberg,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Hallands län,356.3,78.02,278.274,0.865,Slutligt inmätt,511-7828-09,Miljöbalken,Länsstyrelse,9546.542346,0, ,9546.542346,MPAs_Sverige_Okt_2023,9546.542346,3563042.227
23,2014124,Södra Lommabukten med Tågarps hed och Alnarps fälad,Naturreservat,Gällande,2008-05-19 0:00:00,,2008-06-16 0:00:00,2009-01-12 0:00:00, , , ,Skåne Län,"Burlöv, Lomma","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Skåne län,256.25,51.95,204.288,0,Slutligt inmätt,"511-86413-08, 1262-207",Miljöbalken,Länsstyrelse,7307.320207,0, ,7307.320207,MPAs_Sverige_Okt_2023,7307.320207,2562478.584
24,2049438,Kråmö,Naturreservat,Gällande,2018-04-25 0:00:00,,2018-06-18 0:00:00,2018-06-18 0:00:00, , , ,Södermanlands Län,Trosa,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Trosa kommun,246.77,36.33,210.438,19.873,Ospecificerad,KS 2015/28,Miljöbalken,Kommun,7727.512714,0, ,7727.512714,MPAs_Sverige_Okt_2023,7727.512714,2467718.39
25,2013535,Salen,Naturreservat,Gällande,2008-06-10 0:00:00,,2008-07-01 0:00:00,2008-07-01 0:00:00, , , ,Västernorrlands Län,Sundsvall,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västernorrlands län,701.97,174.56,527.39,105.87,Slutligt inmätt,511-1695-08,Miljöbalken,Länsstyrelse,22046.91289,0, ,22046.91289,MPAs_Sverige_Okt_2023,22046.91289,7019666.681
26,2000583,Kosteröarna,Naturreservat,Gällande,1984-12-03 0:00:00,,1985-03-21 0:00:00,2011-09-01 0:00:00, , , ,Västra Götalands Län,Strömstad,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Västra Götalands län,1252.02,705.31,546.652,149.386,Ospecificerad,511-064259-2008,Miljöbalken,Länsstyrelse,60111.01533,0, ,60111.01533,MPAs_Sverige_Okt_2023,60111.01533,12520179.76
27,2002641,Vållö,Naturreservat,Gällande,1973-03-08 0:00:00,,1973-03-08 0:00:00,2007-01-06 0:00:00, , , ,Kalmar Län,Mönsterås,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Kalmar län,2748.56,608.44,2140.096,485.991,Justerad mot fastighetskarta,511-12921-06,Miljöbalken,Länsstyrelse,26844.62377,0, ,26844.62377,MPAs_Sverige_Okt_2023,26844.62377,27485626.12
28,2001971,Vendelsöarna,Naturreservat,Gällande,2002-12-06 0:00:00,,2003-01-08 0:00:00,2015-04-14 0:00:00, , , ,Hallands Län,Varberg,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Hallands län,1582.75,263.72,1319.008,40.854,Ospecificerad,511-7176-14,Miljöbalken,Länsstyrelse,18114.93278,0, ,18114.93278,MPAs_Sverige_Okt_2023,18114.93278,15827448.65
29,2001815,Måkläppen,Naturreservat,Gällande,1984-02-20 0:00:00,,1984-03-31 0:00:00,2017-04-15 0:00:00, , , ,Skåne Län,Vellinge,"III, Naturmonument (Natural Monument)",Länsstyrelsen i Skåne län,765.29,39.8,725.476,0,Ospecificerad,"511-6845-2017, 1233-206",Miljöbalken,Länsstyrelse,11207.90248,0, ,11207.90248,MPAs_Sverige_Okt_2023,11207.90248,7652857.796
30,2042628,Orarna,Naturreservat,Gällande,2016-03-15 0:00:00,,2016-04-09 0:00:00,2016-04-09 0:00:00, , , ,Gävleborgs Län,Gävle,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Gävleborgs län,1104.98,312.39,792.573,220.773,Slutligt inmätt,5521-11,Miljöbalken,Länsstyrelse,14479.01041,0, ,14479.01041,MPAs_Sverige_Okt_2023,14479.01041,11049767.62
31,2013334,Runnö,Naturreservat,Gällande,2007-06-27 0:00:00,,2008-12-18 0:00:00,2008-12-18 0:00:00, , , ,Kalmar Län,Oskarshamn,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Kalmar län,2383.99,531.92,1852.048,367.96,Ospecificerad,511-6583-01,Miljöbalken,Länsstyrelse,25506.15888,0, ,25506.15888,MPAs_Sverige_Okt_2023,25506.15888,23839900.78
32,2002734,Fifång,Naturreservat,Gällande,1999-05-28 0:00:00,,1999-07-07 0:00:00,2018-12-05 0:00:00, , , ,Stockholms Län,Södertälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,1720.84,242.7,1478.126,126.23,Slutligt inmätt,511-46311-2018,Miljöbalken,Länsstyrelse,16710.59691,0, ,16710.59691,MPAs_Sverige_Okt_2023,16710.59691,17208424.85
33,2000975,Östra Kullaberg,Naturreservat,Gällande,1965-08-03 0:00:00,,1965-09-25 0:00:00,2017-03-18 0:00:00, , , ,Skåne Län,Höganäs,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Skåne län,866.96,700.07,166.872,416.868,Slutligt inmätt,511-34320-2016,Miljöbalken,Länsstyrelse,13735.00695,0, ,13735.00695,MPAs_Sverige_Okt_2023,13735.00695,8669568.898
34,2000455,Eriksberg,Naturreservat,Gällande,1976-10-04 0:00:00,,1976-10-04 0:00:00,2019-06-19 0:00:00, , , ,Blekinge Län,Karlshamn,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Eriksberg Vilt o Natur AB,899.6,792.75,106.832,378.967,Ospecificerad,511-4766-2016,Miljöbalken,Länsstyrelse,18969.40296,0, ,18969.40296,MPAs_Sverige_Okt_2023,18969.40296,8996013.62
35,2000617,Västra Rossö,Naturreservat,Gällande,1981-11-30 0:00:00,,1982-03-27 0:00:00,2017-11-16 0:00:00, , , ,Västra Götalands Län,Strömstad,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västra Götalands län,169.79,39.17,130.606,6.675,Slutligt inmätt,511-13656-2013,Miljöbalken,Länsstyrelse,9243.567804,0, ,9243.567804,MPAs_Sverige_Okt_2023,9243.567804,1697856.069
36,2002277,Bödakustens östra,Naturreservat,Gällande,1998-11-20 0:00:00,,1998-12-11 0:00:00,2015-03-21 0:00:00, , , ,Kalmar Län,Borgholm,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Kalmar län,1020.61,682.18,338.398,527.602,Slutligt inmätt,511-5234-14,Miljöbalken,Länsstyrelse,24496.16007,0, ,24496.16007,MPAs_Sverige_Okt_2023,24496.16007,10206051.38
37,2042007,Slada,Naturreservat,Gällande,2016-11-18 0:00:00,,2018-06-20 0:00:00,2018-06-20 0:00:00, , , ,Uppsala Län,Tierp,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Uppsala län,863.44,548.05,315.358,402.965,Ospecificerad,511-5900-12,Miljöbalken,Länsstyrelse,33187.9197,0, ,33187.9197,MPAs_Sverige_Okt_2023,33187.9197,8634412.763
38,2000702,Gåsholma,Naturreservat,Gällande,1972-11-06 0:00:00,,1972-12-04 0:00:00,2007-05-28 0:00:00, , , ,Gävleborgs Län,Gävle,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Gävleborgs län,397.61,90.72,306.878,71.75,Justerad mot fastighetskarta,"511-4233-06, 80-207",Miljöbalken,Länsstyrelse,8271.49056,0, ,8271.49056,MPAs_Sverige_Okt_2023,8271.49056,3976094.163
39,2000080,Sölvesborgsviken,Naturreservat,Gällande,1939-05-02 0:00:00,,1939-05-02 0:00:00,2018-01-19 0:00:00, , , ,Blekinge Län,Sölvesborg,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Blekinge län,166.85,56.52,110.319,6.63,Ospecificerad,511-3438-2012,Miljöbalken,Länsstyrelse,9588.446962,0, ,9588.446962,MPAs_Sverige_Okt_2023,9588.446962,1668475.128
40,2002292,Villinge Boskapsö,Naturreservat,Gällande,1987-09-07 0:00:00,,1987-10-13 0:00:00,2012-10-17 0:00:00, , , ,Stockholms Län,Värmdö,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",SEB rekreationsstiftelse,339.74,108.65,231.084,68.568,Justerad mot fastighetskarta,5112-16856-2012,Miljöbalken,Länsstyrelse,7048.532028,0, ,7048.532028,MPAs_Sverige_Okt_2023,7048.532028,3397415.773
41,2002691,Beijershamn,Naturreservat,Gällande,1943-08-11 0:00:00,,1943-08-11 0:00:00,2009-03-19 0:00:00, , , ,Kalmar Län,Mörbylånga,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Kalmar län,357.7,140.92,216.762,22.901,Slutligt inmätt,511-7021-00,Miljöbalken,Länsstyrelse,15216.72874,0, ,15216.72874,MPAs_Sverige_Okt_2023,15216.72874,3576959.576
42,2044508,Fredshög-Stavstensudde,Naturreservat,Gällande,2015-09-28 0:00:00,,2017-06-15 0:00:00,2017-06-15 0:00:00, , , ,Skåne Län,Trelleborg,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Trelleborgs kommun,1025.42,4.53,1020.876,0,Ospecificerad,KS2015/374,Miljöbalken,Kommun,17416.97343,0, ,17416.97343,MPAs_Sverige_Okt_2023,17416.97343,10254239.54
43,2001476,Knähaken,Naturreservat,Gällande,2001-02-07 0:00:00,,2001-02-07 0:00:00,2001-02-07 0:00:00, , , ,Skåne Län,Helsingborg,"Ib, Vildmarksområde (Wilderness Area)",Helsingborgs kommun,1363.23,0,1363.21,0,Justerad mot fastighetskarta,"231-21739-01, 1283-212",Miljöbalken,Kommun,17241.26503,0, ,17241.26503,MPAs_Sverige_Okt_2023,17241.26503,13632267.11
44,2002409,Hållnäskusten,Naturreservat,Gällande,1995-03-03 0:00:00,,1995-05-30 0:00:00,2016-12-23 0:00:00, , , ,Uppsala Län,Tierp,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Uppsala län,1449.28,425.39,1023.864,326.489,Justerad mot fastighetskarta,511-1637-15,Miljöbalken,Länsstyrelse,22032.44683,0, ,22032.44683,MPAs_Sverige_Okt_2023,22032.44683,14492788.85
45,2047679,Hanö,Naturreservat,Gällande,2017-08-31 0:00:00,,2017-09-28 0:00:00,2017-09-28 0:00:00, , , ,Blekinge Län,Sölvesborg,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Blekinge län,376.42,193.03,183.387,79.366,Ospecificerad,511-2548-2017,Miljöbalken,Länsstyrelse,9401.116167,0, ,9401.116167,MPAs_Sverige_Okt_2023,9401.116167,3764215.852
46,2027089,Gräsö östra skärgård,Naturreservat,Gällande,2012-02-21 0:00:00,,2013-01-24 0:00:00,2013-01-24 0:00:00, , , ,Uppsala Län,Östhammar,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Uppsala län,54784.65,1380.21,53404.314,314.798,Ospecificerad,511-09323-09,Miljöbalken,Länsstyrelse,126031.447,0, ,126031.447,MPAs_Sverige_Okt_2023,126031.447,547846502.4
47,2014210,Nåttarö,Naturreservat,Gällande,2008-05-16 0:00:00,,2008-06-19 0:00:00,2008-06-19 0:00:00, , , ,Stockholms Län,Haninge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,6565.31,614.84,5950.429,343.611,Ospecificerad,511-2006-87653,Miljöbalken,Länsstyrelse,44389.71343,0, ,44389.71343,MPAs_Sverige_Okt_2023,44389.71343,65653099.76
48,2000962,Hallands Väderö,Naturreservat,Gällande,1998-12-18 0:00:00,,1999-03-12 0:00:00,2000-07-20 0:00:00, , , ,Skåne Län,Båstad,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Skåne län,1834.43,328.1,1506.307,163.49,Ospecificerad,231-20652-00,Miljöbalken,Länsstyrelse,19796.34112,0, ,19796.34112,MPAs_Sverige_Okt_2023,19796.34112,18344269.47
49,2000129,Ekstakusten,Naturreservat,Gällande,1967-12-12 0:00:00,,1967-12-12 0:00:00,2019-09-05 0:00:00, , , ,Gotlands Län,Gotland,"III, Naturmonument (Natural Monument)",Länsstyrelsen i Gotlands län,132.89,40.08,92.8,15.036,Slutligt inmätt,51141702016,Miljöbalken,Länsstyrelse,9379.709579,0, ,9379.709579,MPAs_Sverige_Okt_2023,9379.709579,1328918.872
50,2043737,Kallfjärden,Naturreservat,Gällande,2017-10-17 0:00:00,,2018-12-06 0:00:00,2018-12-06 0:00:00, , , ,Norrbottens Län,"Luleå, Piteå","Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Norrbottens län,16015.86,384.17,15631.633,232.29,Ospecificerad,511-5399-2017,Miljöbalken,Länsstyrelse,52101.20747,0, ,52101.20747,MPAs_Sverige_Okt_2023,52101.20747,160158546
51,2021305,Avanäset,Naturreservat,Gällande,2017-10-26 0:00:00,,2017-11-30 0:00:00,2017-11-30 0:00:00, , , ,Västerbottens Län,Skellefteå,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västerbottens län,713.85,175.81,538.025,78.089,Justerad mot fastighetskarta,511-8782-2011,Miljöbalken,Länsstyrelse,12455.13333,0, ,12455.13333,MPAs_Sverige_Okt_2023,12455.13333,7138492.216
52,2042061,Galterö,Naturreservat,Gällande,2015-11-25 0:00:00,,2016-11-10 0:00:00,2016-11-10 0:00:00, , , ,Västra Götalands Län,Göteborg,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Västkuststiftelsen,650.86,120.01,530.84,0,Slutligt inmätt,511-14076-2014,Miljöbalken,Länsstyrelse,16123.54801,0, ,16123.54801,MPAs_Sverige_Okt_2023,16123.54801,6508641.195
53,2001713,Kvädöfjärden,Naturreservat,Gällande,1979-03-30 0:00:00,,1979-03-30 0:00:00,2008-02-04 0:00:00, , , ,Östergötlands Län,Valdemarsvik,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Östergötlands län,4561.32,1260.59,3300.679,886.574,Slutligt inmätt,"511-10071-07,  0563-213",Miljöbalken,Länsstyrelse,42699.00587,0, ,42699.00587,MPAs_Sverige_Okt_2023,42699.00587,45613159.46
54,2049620,Björns skärgård,Naturreservat,Gällande,2018-06-12 0:00:00,,2018-08-02 0:00:00,2018-08-02 0:00:00, , , ,Uppsala Län,Tierp,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Upplandsstiftelsen,2454.45,193.82,2260.6,57.454,Ospecificerad,KS 2017/749,Miljöbalken,Kommun,26275.95268,0, ,26275.95268,MPAs_Sverige_Okt_2023,26275.95268,24544465.19
55,2001737,Torrö,Naturreservat,Gällande,1973-02-15 0:00:00,,1973-02-15 0:00:00,2009-01-26 0:00:00, , , ,Östergötlands Län,Valdemarsvik,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Östergötlands län,1085.16,199.99,885.138,92.637,Slutligt inmätt,511-20651-06 0563-204,Miljöbalken,Länsstyrelse,30497.31141,0, ,30497.31141,MPAs_Sverige_Okt_2023,30497.31141,10851578.08
56,2032589,Marstrand,Naturreservat,Gällande,2017-10-23 0:00:00,,2017-11-17 0:00:00,2017-11-17 0:00:00, , , ,Västra Götalands Län,Kungälv,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Västkuststiftelsen,985.62,482.59,503.002,76.796,Slutligt inmätt,511-7379-2012,Miljöbalken,Länsstyrelse,29452.56552,0, ,29452.56552,MPAs_Sverige_Okt_2023,29452.56552,9856172.984
57,2001760,Missjö,Naturreservat,Gällande,2001-12-14 0:00:00,,2002-01-25 0:00:00,2015-01-10 0:00:00, , , ,Östergötlands Län,Söderköping,"Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Östergötlands län,1833.11,173.74,1659.345,31.958,Ospecificerad,511-828-14,Miljöbalken,Länsstyrelse,28028.81657,0, ,28028.81657,MPAs_Sverige_Okt_2023,28028.81657,18331139.1
58,2001464,Domsten-Viken,Naturreservat,Gällande,1984-03-13 0:00:00,,1984-05-24 0:00:00,2011-03-11 0:00:00, , , ,Skåne Län,Helsingborg,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Skåne län,52.2,24.89,27.305,6.929,Ospecificerad,"511-15910-10, 1283-201",Miljöbalken,Länsstyrelse,5915.914142,0, ,5915.914142,MPAs_Sverige_Okt_2023,5915.914142,521975.5177
59,2001448,Bråviken,Naturreservat,Gällande,1968-06-28 0:00:00,,1968-06-28 0:00:00,2012-12-20 0:00:00, , , ,Östergötlands Län,Norrköping,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Östergötlands län,9242.64,426.27,8816.316,224.436,Ospecificerad,511-13828-07,Miljöbalken,Länsstyrelse,55653.86186,0, ,55653.86186,MPAs_Sverige_Okt_2023,55653.86186,92426378.58
60,2043306,Tyvudden,Naturreservat,Gällande,2015-12-15 0:00:00,,2017-03-23 0:00:00,2017-03-23 0:00:00, , , ,Södermanlands Län,Trosa,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Södermanlands län,502.59,66.36,436.221,52.716,Slutligt inmätt,511-5218-2011,Miljöbalken,Länsstyrelse,11128.14226,0, ,11128.14226,MPAs_Sverige_Okt_2023,11128.14226,5025876.887
61,2005533,Havstensfjorden,Naturreservat,Gällande,2008-11-26 0:00:00,,2010-09-09 0:00:00,2010-09-09 0:00:00, , , ,Västra Götalands Län,Uddevalla,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Västkuststiftelsen,1930.04,267.8,1662.207,110.275,Slutligt inmätt,511-29707-2004,Miljöbalken,Länsstyrelse,30163.96472,0, ,30163.96472,MPAs_Sverige_Okt_2023,30163.96472,19300352.43
62,2012999,Gammalsby sjömarker,Naturreservat,Gällande,2007-05-16 0:00:00,,2007-06-16 0:00:00,2007-06-16 0:00:00, , , ,Kalmar Län,Mörbylånga,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Kalmar län,178.6,83.3,95.292,0,Slutligt inmätt,511-3515-07,Miljöbalken,Länsstyrelse,6591.380977,0, ,6591.380977,MPAs_Sverige_Okt_2023,6591.380977,1785974.831
63,2013527,Bunkeflo strandängar,Naturreservat,Gällande,2007-04-27 0:00:00,,2010-01-28 0:00:00,2010-01-28 0:00:00, , , ,Skåne Län,Malmö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Malmö kommun,689.48,196.37,493.093,0.78,Ospecificerad,511-25890-07,Miljöbalken,Kommun,16979.87874,0, ,16979.87874,MPAs_Sverige_Okt_2023,16979.87874,6894761.281
64,2002530,Skaten-Rångsen,Naturreservat,Gällande,1998-12-18 0:00:00,,1998-12-18 0:00:00,1998-12-18 0:00:00, , , ,Uppsala Län,"Tierp, Östhammar","Ib, Vildmarksområde (Wilderness Area)",Upplandsstiftelsen,2232.18,363.29,1868.865,257.629,Justerad mot fastighetskarta,231-2304-98,Naturvårdslagen,Länsstyrelse,25983.20462,0, ,25983.20462,MPAs_Sverige_Okt_2023,25983.20462,22321787.96
65,2004582,Södra Malmö,Naturreservat,Gällande,2006-04-28 0:00:00,,2008-02-14 0:00:00,2008-02-14 0:00:00, , , ,Kalmar Län,Västervik,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Kalmar län,1685.82,404.33,1281.456,318.379,Slutligt inmätt,511-4470-99,Miljöbalken,Länsstyrelse,31705.32037,0, ,31705.32037,MPAs_Sverige_Okt_2023,31705.32037,16858208.34
66,2014253,Gö,Naturreservat,Gällande,2008-10-13 0:00:00,,2008-11-21 0:00:00,2012-10-19 0:00:00, , , ,Blekinge Län,Ronneby,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Blekinge län,1945.32,509.18,1436.104,424.556,Slutligt inmätt,511-1343-10,Miljöbalken,Länsstyrelse,36294.41562,0, ,36294.41562,MPAs_Sverige_Okt_2023,36294.41562,19453216.23
67,2001318,Askö,Naturreservat,Gällande,2001-05-18 0:00:00,,2004-04-02 0:00:00,2007-07-27 0:00:00, , , ,Södermanlands Län,Trosa,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Södermanlands län,5845.74,627.74,5217.969,458.276,Slutligt inmätt,511-15846-2006,Miljöbalken,Länsstyrelse,35292.59635,0, ,35292.59635,MPAs_Sverige_Okt_2023,35292.59635,58457420.31
68,2001679,Örefjärden-Snöanskärgården,Naturreservat,Gällande,1973-02-02 0:00:00,,1973-02-28 0:00:00,2014-05-22 0:00:00, , , ,Västerbottens Län,"Nordmaling, Umeå","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Västerbottens län,47584.01,690.13,46893.756,267.408,Ospecificerad,511-8523-2011,Miljöbalken,Länsstyrelse,118512.0927,0, ,118512.0927,MPAs_Sverige_Okt_2023,118512.0927,475840061.8
69,2000807,Vrångöskärgården,Naturreservat,Gällande,1979-06-21 0:00:00,,1979-07-12 0:00:00,1979-07-12 0:00:00, , , ,Västra Götalands Län,Göteborg,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Västkuststiftelsen,5082.35,395.75,4686.557,21.033,Justerad mot fastighetskarta,11.1211-1331-75 1480-212,Naturvårdslagen,Länsstyrelse,36255.48789,0, ,36255.48789,MPAs_Sverige_Okt_2023,36255.48789,50823464.14
70,2030769,Södra Bjärekusten,Naturreservat,Gällande,2013-06-13 0:00:00,,2013-07-15 0:00:00,2013-07-15 0:00:00, , , ,Skåne Län,Båstad,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Skåne län,5013.56,289.09,4724.428,11.758,Slutligt inmätt,511-21340-2012 och 511-18490-2012, ,Länsstyrelse,40516.469,0, ,40516.469,MPAs_Sverige_Okt_2023,40516.469,50135582.99
71,2000875,Stora Nassa,Naturreservat,Gällande,1965-10-11 0:00:00,,1965-11-08 0:00:00,2013-06-27 0:00:00, , , ,Stockholms Län,Värmdö,"Ib, Vildmarksområde (Wilderness Area)",Elisabet och Robert Nathansons Fam. Stiftelse Stora Nassa,2942.79,278.76,2664.01,1.56,Justerad mot fastighetskarta,5112-17749-2012, ,Länsstyrelse,24625.33261,0, ,24625.33261,MPAs_Sverige_Okt_2023,24625.33261,29427905.16
